team_name,possession__your_possession_time_seconds,possession__attacking_third_possession_seconds,possession__attacking_third_possession_pct_of_team,possession__possession_pct,distribution__passes,distribution__successful_passes,distribution__intercepted_passes,distribution__unsuccessful_passes,distribution__short_passes,distribution__long_passes,distribution__crosses,distribution__through_passes,distribution__header_passes,distribution__forward_passes,distribution__lateral_passes,distribution__back_passes,distribution__passing_accuracy_pct,distribution__assists,distribution__key_passes,attack__goals,attack__shots,attack__shots_on_target,attack__shots_off_target,attack__blocked_shots,attack__shot_creating_actions,defense__tackles,defense__successful_tackles,defense__tackles_success_rate_pct,defense__clearances,defense__interceptions,defense__recoveries,defense__recoveries_attacking_third,defense__recoveries_attacking_third_pct,defense__blocks,defense__saves,general__duels,general__duels_won,general__duels_success_rate_pct,general__aerial_duels,general__ground_duels,general__offsides,general__corner_awarded,discipline__fouls_conceded,discipline__yellow_cards,discipline__red_cards,match_rating_attack,match_rating_defense,match_rating_distribution,match_rating_general,match_rating_discipline,overall_rating,outcome_score,added_at,match_number,match_id,is_synthetic,match_rating_overall
San Beda,1476.0,159.0,10.77,52.027,272,227,23,22,215,27,7.0,23,0,169,26,77,83.46,3.0,3,4,18,7,6,5,30.0,7,5,71.43,5,3,19.0,1.0,5.26,2.0,6,31,16,51.61,8,15,3.0,5.0,15,1,0,6.43,6.23,7.38,6.84,6.11,6.6,0.5,2025-11-16T19:06:26.004327+00:00,1,San_Beda_20251117030626_1,0,
San Beda,1181.009732116644,162.46553509575085,12.36943470138055,45.70275333471567,303,253,26,29,256,22,6.213075321311394,23,1,173,37,89,80.2323659240886,2.7995916553884106,3,3,8,9,6,5,34.68704488169325,7,3,94.0,3,4,15.905343594081076,1.3576446428391251,6.74831792387868,1.647545854119845,7,28,18,50.0,7,16,3.745263936635738,4.909934670933544,13,1,1,57.79,51.91,78.85,89.21,68.85,5.69835063253827,0.0,2025-11-16T19:06:26.005982+00:00,1,San_Beda_20251117030626_1,1,67.22
San Beda,1455.3714628878265,154.5630662113252,11.707239400999098,61.04223544938717,258,271,18,25,181,23,9.388876900790226,26,1,204,25,108,53.56575203129585,3.6798957897992666,3,5,16,9,6,5,38.26970568428911,10,6,76.0,6,3,18.927905682914727,1.031658436676851,4.369301467089068,1.6851410052729825,6,34,17,51.0,7,11,2.489291673012109,6.767901739963559,14,2,0,52.85,51.54,52.04,86.23,76.8,5.182451455617302,0.0735963588385504,2025-11-16T19:06:26.006266+00:00,2,San_Beda_20251117030626_2,1,57.63
San Beda,666.7689786240652,116.92177660490154,10.0,67.42855257790607,144,222,29,25,257,32,5.753362346949258,24,0,203,30,90,81.80653242051349,3.7731556677477696,3,5,10,7,6,5,26.90685097516932,7,6,62.0,5,3,18.44128865039893,0.6963396611811896,4.81615825422175,2.116804342838746,6,21,18,55.0,9,9,3.3666248583893648,6.099649772776415,19,2,0,59.13,51.18,75.64,95.0,66.35,7.244303383213987,0.7692327289817728,2025-11-16T19:06:26.006495+00:00,3,San_Beda_20251117030626_3,1,67.03
San Beda,1144.9185235691302,134.75676829283373,10.83871190613073,52.80735366282928,159,254,27,19,248,27,5.684925454916168,23,0,144,19,69,80.77615989843959,3.224502498715812,2,5,18,6,9,6,20.13676918900696,8,5,54.0,5,3,20.083762513866933,0.0,3.538488067942655,0.9683573419662173,6,31,12,65.0,5,14,2.739660010170873,4.502359393853215,16,1,1,51.91,52.4,73.73,79.51,68.83,4.387399156957353,0.713508523595937,2025-11-16T19:06:26.006711+00:00,4,San_Beda_20251117030626_4,1,66.19
San Beda,1359.546582671377,125.99066163538694,11.522127015233089,65.44464624738349,270,219,26,24,185,26,6.317621268114907,28,3,127,34,81,69.41997374426718,4.07300386015859,3,3,16,8,6,6,29.8497045631834,6,4,67.0,5,3,24.053880216920938,0.935106418231851,4.89620946624825,2.595742267127012,5,24,15,60.0,10,16,3.214947167854897,3.438194575923794,19,1,0,55.28,50.53,63.76,88.13,68.96,8.042800346206446,0.0,2025-11-16T19:06:26.006903+00:00,5,San_Beda_20251117030626_5,1,63.1
San Beda,1042.9771851629955,250.74795235386256,12.280685956530176,42.5046166426188,288,203,21,21,179,30,8.850039776547485,23,1,139,23,56,95.72757224329688,2.9327168108968027,2,3,19,8,5,5,25.066086783854164,7,5,52.0,3,3,25.29987185517046,1.6466499248380988,3.312139144694014,1.999205238744222,5,28,18,42.0,7,13,2.5313143624152348,3.745207598152372,17,1,0,61.63,54.12,95.0,92.29,72.42,6.894129614402295,0.2033373008560963,2025-11-16T19:06:26.007089+00:00,6,San_Beda_20251117030626_6,1,73.35
San Beda,1255.875614631996,151.017587534779,10.0,47.09681612952666,274,228,10,27,192,29,6.095600135558291,25,1,173,21,62,94.74757848362874,2.689314088671618,3,4,15,6,7,5,25.99343212365099,10,5,56.0,4,2,14.355682238222856,0.1607531963319448,6.149215727923961,1.5940785380198337,8,28,17,38.0,9,17,2.33421566061735,5.345466527871391,19,0,0,53.55,59.69,95.0,88.45,74.27,5.744446358687294,0.8923622770150397,2025-11-16T19:06:26.007271+00:00,7,San_Beda_20251117030626_7,1,75.89
San Beda,1492.3565641243274,152.18098461105092,11.57450092607523,53.38350672804541,308,227,25,19,199,24,8.267026338816917,33,0,139,23,61,59.47355664585301,3.185557742089583,3,4,21,7,7,4,27.079052020736217,6,4,70.0,4,2,20.07317642180596,1.2847679701599866,4.896840189095333,2.7144908556785987,3,26,20,65.0,7,16,3.701113968006186,5.695171639910617,15,2,1,58.03,53.37,55.31,95.0,71.15,4.663885110274544,0.8180094768800191,2025-11-16T19:06:26.007474+00:00,8,San_Beda_20251117030626_8,1,68.67
San Beda,1334.5072513583468,171.16638614469576,11.78245413797749,44.534077103171896,364,192,29,26,339,23,5.4128163879160125,33,2,163,33,69,76.72631362370306,2.83770510307044,3,5,25,8,7,3,39.40747170348203,9,4,72.0,5,3,18.24732542435397,0.6929183627900481,6.072374043785621,1.8519263575029368,7,29,16,72.0,10,14,3.48522057818924,5.291446181553637,12,0,1,62.77,55.19,77.88,84.08,73.09,7.873053781798273,0.4544939378668453,2025-11-16T19:06:26.007680+00:00,9,San_Beda_20251117030626_9,1,64.38
San Beda,1715.1348287550748,165.68367739241936,10.0,43.70303871720986,281,194,34,29,239,23,10.304934131616584,32,0,167,20,61,84.65006529432095,3.8860079542739054,4,3,18,6,8,5,26.545348318203565,6,7,62.0,5,3,10.140790508581889,1.257764587137378,5.837113213238404,2.3111498749372323,4,14,18,42.0,9,17,2.913676815737471,4.311747492213107,16,0,1,53.19,59.3,87.99,95.0,69.86,7.8333116241628895,0.2466980401626069,2025-11-16T19:06:26.007867+00:00,10,San_Beda_20251117030626_10,1,72.25
San Beda,1133.4236614840445,179.20595670746656,12.81898124441716,73.52135847272721,221,317,16,23,160,26,7.041029280337594,26,0,176,24,52,79.01865164761965,3.114745975169648,4,4,7,7,6,6,26.098093818311145,5,5,78.0,4,3,26.948509830290146,1.25852390815604,5.450732357523165,2.273041008531969,4,40,12,58.0,7,16,3.010902131770783,6.381361994267061,13,1,2,50.03,61.36,79.23,72.01,68.2,4.701826873449473,0.3186604323084057,2025-11-16T19:06:26.008054+00:00,11,San_Beda_20251117030626_11,1,62.5
San Beda,1532.2515534354648,164.2740361448702,11.301780968872874,63.59449675418902,357,235,22,24,257,33,3.534590369039303,24,0,201,27,80,87.06813479295813,2.7632744132002243,4,4,17,6,8,7,42.12737260465202,7,5,85.0,3,2,15.872502894220366,0.8405279259985221,4.781296693110655,1.6295299393143534,6,34,14,43.0,7,13,3.115439405955025,3.909542463085652,21,1,0,61.24,41.07,86.49,75.78,71.12,7.514336796813191,0.4340803329425962,2025-11-16T19:06:26.008237+00:00,12,San_Beda_20251117030626_12,1,65.34
San Beda,1891.822239059456,138.2260533793164,12.501485799546227,49.51976448882267,336,194,24,26,253,26,6.733648343454954,25,2,203,32,77,63.70876612483457,3.124605159665673,3,3,17,5,7,5,34.59952049546277,8,4,55.0,4,4,18.67798690863092,1.420543009721103,2.658254407097918,2.5171011068371194,4,34,20,39.0,9,14,5.293321293675552,4.321025412605973,14,2,0,53.33,51.58,61.14,85.87,76.66,10.013638315392049,0.0,2025-11-16T19:06:26.008420+00:00,13,San_Beda_20251117030626_13,1,60.28
San Beda,1301.0802745482565,123.96496939621768,11.114435661254443,66.46046166053318,275,268,20,25,172,27,7.570325639983751,28,0,152,32,69,75.04858562938504,3.434487989482502,4,4,14,7,7,4,30.757119716127363,6,3,60.0,6,2,19.429587645984608,1.553174345643413,6.440447902248956,2.240415116508907,6,30,17,44.0,8,17,2.245463452104589,4.891460559381775,15,1,1,61.1,46.9,77.02,75.52,62.13,8.012305397683981,1.3369236451026267,2025-11-16T19:06:26.009224+00:00,14,San_Beda_20251117030626_14,1,65.68
San Beda,1569.4307909244078,230.54154918177989,10.936413768127643,29.569732425747063,331,209,29,13,222,31,6.850445181103568,20,1,147,27,76,81.04675039080468,2.769630980773877,4,4,15,7,7,4,25.69934838796494,7,5,121.0,5,2,18.31801025076656,1.4709614593379647,5.761413301268602,1.7885196917157975,6,34,17,56.0,8,12,2.703839739741046,3.5595496273533724,19,1,0,48.95,43.07,77.48,81.14,70.87,6.249044988817969,0.119756686578391,2025-11-16T19:06:26.009840+00:00,15,San_Beda_20251117030626_15,1,62.96
San Beda,1608.4431374951575,171.19924557880026,10.0,50.63378012445215,268,236,33,34,261,18,6.173910377601783,20,0,160,31,89,88.62582928353065,4.510318965488287,3,4,16,5,7,4,38.77100703023651,7,5,57.0,5,2,20.9869530372822,0.5048164700306541,5.520523154019428,1.5141624849107744,7,31,12,47.0,9,14,2.1583237030604563,6.192709315448609,12,2,1,68.33,54.43,83.84,73.56,68.03,5.417106383137903,0.7887895893703161,2025-11-16T19:06:26.010252+00:00,16,San_Beda_20251117030626_16,1,72.56
San Beda,1481.7527330537644,124.3258202856614,11.0229272902794,49.08711303740348,311,224,16,28,185,27,6.590730479328968,26,0,167,28,65,99.77995055556435,3.276034296652513,3,4,19,8,5,7,35.7895373658778,8,5,89.0,5,4,22.64978291499548,0.4267497175948486,7.244429729355359,1.2360407193256755,4,30,12,43.0,8,12,2.4212926271024493,6.32878495317944,15,2,0,52.37,52.65,95.0,73.34,70.06,5.779857908224528,0.0,2025-11-16T19:06:26.010487+00:00,17,San_Beda_20251117030626_17,1,60.97
San Beda,1233.460471864194,156.9599218130554,10.0,55.17895969249129,328,241,20,10,184,29,5.5405603649117126,26,2,110,39,94,77.0968497407952,2.9940335327510468,3,4,21,6,5,4,17.206538419906497,8,6,90.0,4,3,21.54814044864065,0.7047773668663377,6.393325642705307,2.0363182764876147,7,32,14,56.0,9,15,2.2140623697683752,5.635402576217373,17,1,1,53.7,57.68,75.52,78.8,67.18,7.279989138414992,1.2301343802690368,2025-11-16T19:06:26.010695+00:00,18,San_Beda_20251117030626_18,1,70.83
San Beda,1185.5957224711624,129.2304699419907,10.5611087511916,41.01735505035249,203,198,16,21,276,24,8.122955391095665,16,0,156,29,76,69.90013106714665,2.5329157839147904,4,4,13,7,6,6,37.27862293924439,6,6,56.0,4,3,23.89788629799914,1.4223314312772335,6.697523474956642,2.095216164657784,9,34,17,43.0,5,16,2.843461638664029,5.361765651680368,14,1,0,52.71,45.23,72.7,85.56,69.36,5.031287111507848,0.5853404893194938,2025-11-16T19:06:26.010904+00:00,19,San_Beda_20251117030626_19,1,57.19
San Beda,1869.34505948572,159.7461579145951,10.0,41.39594387452887,338,212,32,20,167,18,7.273996743693193,27,0,242,21,85,72.36298382966834,2.950366308599769,3,3,20,9,4,7,25.67071884361729,6,6,75.0,5,3,18.15165993951648,0.8794173157777385,3.3797568996882648,2.5263277195527745,5,38,13,49.0,7,13,2.6719509049727903,6.179716046808112,14,1,1,51.0,48.57,67.87,72.9,68.76,7.100084711638352,0.6684376631413296,2025-11-16T19:06:26.011094+00:00,20,San_Beda_20251117030626_20,1,58.78
San Beda,1230.2124803885392,178.72381706871022,10.0,42.100370467127135,261,180,26,24,183,39,7.703953535873508,22,1,145,28,88,119.61436145378477,2.4718394050144097,4,3,21,8,5,5,29.83247438909325,9,3,68.0,7,3,20.73437778461588,1.3848946301848484,6.461199971063126,1.6413111136477194,6,32,20,48.0,8,14,3.050058143740286,4.3443142115113496,14,2,1,58.98,54.88,95.0,95.0,70.16,5.788319167346798,0.2455803894257255,2025-11-16T19:06:26.011294+00:00,21,San_Beda_20251117030626_21,1,70.98
